"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.25,1.84,1.03,0.47,6.59
"The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.55,2.71,0.25,1.05,6.56
"Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.56,0.16,1.14,6.5
"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.7,1.97,0.09,0.57,6.34
"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.78,0.03,0.51,6.24
"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.62,0.07,0.49,6.24
"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.28,0.28,1.01,5.99
"Destiny","PS4",2014,"Shooter","Activision",2.49,2.05,0.16,0.96,5.65
"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.7,1.91,0.11,0.8,5.53
"Minecraft","PS3",2014,"Misc","Sony Computer Entertainment",1.97,2.51,0.0,0.94,5.42
"Assassin's Creed III","X360",2012,"Action","Ubisoft",3.13,1.71,0.03,0.44,5.3
"Diablo III","PC",2012,"Role-Playing","Activision",2.43,2.15,0.0,0.62,5.2
"New Super Mario Bros. U","WiiU",2012,"Platform","Nintendo",2.32,1.3,1.27,0.31,5.19
"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.08,3.48,0.03,0.58,5.18
"Tomodachi Life","3DS",2013,"Simulation","Nintendo",0.96,2.02,1.89,0.28,5.15
"Fable III","X360",2010,"Role-Playing","Microsoft Game Studios",3.59,1.11,0.05,0.38,5.13
"Call of Duty: Advanced Warfare","XOne",2014,"Shooter","Activision",3.21,1.53,0.01,0.38,5.13
"Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.66,2.01,0.0,0.41,5.08
"FIFA Soccer 11","PS3",2010,"Sports","Electronic Arts",0.6,3.29,0.06,1.13,5.08
"Super Smash Bros. for Wii U and 3DS","WiiU",2014,"Fighting","Nintendo",2.59,1.06,0.8,0.57,5.02
"Monster Hunter Freedom 3","PSP",2010,"Role-Playing","Capcom",0.0,0.0,4.87,0.0,4.87
"God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.74,1.36,0.12,0.63,4.84
"StarCraft II: Wings of Liberty","PC",2010,"Strategy","Activision",2.56,1.68,0.0,0.59,4.83
"FIFA 15","PS3",2014,"Sports","Electronic Arts",0.57,3.14,0.04,1.07,4.82
"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.28,3.75,0.06,0.69,4.77
"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.31,0.04,0.41,4.76
"Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.08,2.04,0.06,0.47,4.64
"Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.78,1.39,1.1,0.3,4.58
"Splatoon","WiiU",2015,"Shooter","Nintendo",1.55,1.15,1.44,0.43,4.57
"The Last of Us","PS4",2014,"Action","Sony Computer Entertainment",1.78,1.87,0.07,0.82,4.55
"Uncharted: The Nathan Drake Collection","PS4",2015,"Action","Sony Computer Entertainment",1.96,1.69,0.08,0.74,4.47
"Call of Duty: Advanced Warfare","PS3",2014,"Shooter","Activision",1.54,1.94,0.19,0.77,4.45
"Nintendo Land","WiiU",2012,"Misc","Nintendo",2.55,1.11,0.46,0.33,4.44
"Michael Jackson: The Experience","Wii",2010,"Misc","Ubisoft",2.67,1.35,0.01,0.39,4.42
"FIFA 14","X360",2013,"Sports","Electronic Arts",0.92,2.93,0.01,0.46,4.31
"Call of Duty: Advanced Warfare","X360",2014,"Shooter","Activision",2.75,1.18,0.0,0.37,4.31
"Halo 5: Guardians","XOne",2015,"Shooter","Microsoft Game Studios",2.64,1.2,0.03,0.39,4.26
"Super Mario 3D World","WiiU",2013,"Platform","Nintendo",2.11,1.11,0.72,0.3,4.25
"Assassin's Creed: Revelations","PS3",2011,"Action","Ubisoft",1.41,2.02,0.1,0.72,4.24
"The Legend of Zelda: Ocarina of Time","3DS",2011,"Action","Nintendo",2.03,1.27,0.62,0.3,4.21
"Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.3,2.07,0.18,0.65,4.2
"Assassin's Creed: Revelations","X360",2011,"Action","Ubisoft",2.25,1.47,0.04,0.43,4.19
"FIFA 12","X360",2011,"Sports","Electronic Arts",0.84,2.79,0.02,0.53,4.19
"Watch Dogs","PS4",2014,"Action","Ubisoft",1.4,1.86,0.11,0.77,4.14
"The Legend of Zelda: Skyward Sword","Wii",2011,"Action","Nintendo",2.14,1.2,0.37,0.4,4.1
"Fallout 4","XOne",2015,"Role-Playing","Bethesda Softworks",2.45,1.26,0.01,0.37,4.09
"Fallout: New Vegas","X360",2010,"Role-Playing","Bethesda Softworks",2.65,1.06,0.04,0.33,4.08
"Far Cry 4","PS4",2014,"Shooter","Ubisoft",1.12,2.12,0.1,0.69,4.03
"Minecraft","PS4",2014,"Misc","Sony Computer Entertainment Europe",1.38,1.87,0.12,0.65,4.02
"Assassin's Creed: Unity","PS4",2014,"Action","Ubisoft",1.18,1.96,0.08,0.7,3.92
"Assassin's Creed IV: Black Flag","PS3",2013,"Action","Ubisoft",1.33,1.71,0.13,0.73,3.89
"Monster Hunter 4 Ultimate","3DS",2014,"Role-Playing","Nintendo",0.67,0.49,2.62,0.11,3.89
"The Elder Scrolls V: Skyrim","PC",2011,"Role-Playing","Bethesda Softworks",1.15,2.09,0.0,0.64,3.88
"Sports Champions","PS3",2010,"Sports","Sony Computer Entertainment",2.12,1.14,0.1,0.51,3.87
"NBA 2K16","PS4",2015,"Sports","Take-Two Interactive",2.48,0.65,0.03,0.69,3.85
"Nintendogs + cats","3DS",2011,"Simulation","Nintendo",1.44,1.37,0.73,0.27,3.81
"Batman: Arkham Knight","PS4",2015,"Action","Warner Bros. Interactive Entertainment",1.49,1.58,0.1,0.61,3.79
"Mario & Sonic at the London 2012 Olympic Games","Wii",2011,"Sports","Sega",1.14,1.91,0.27,0.46,3.78
"Just Dance 2014","Wii",2013,"Misc","Ubisoft",1.98,1.47,0.0,0.32,3.76
"The Witcher 3: Wild Hunt","PS4",2015,"Role-Playing","Namco Bandai Games",0.96,2.0,0.21,0.56,3.73
"Battlefield 4","PS3",2013,"Shooter","Electronic Arts",1.3,1.51,0.27,0.61,3.69
"Gran Turismo 6","PS3",2013,"Racing","Sony Computer Entertainment",0.71,1.8,0.4,0.74,3.64
"Call of Duty: Ghosts","PS4",2013,"Shooter","Activision",1.78,1.42,0.05,0.38,3.63
"Tom Clancy's The Division","PS4",2016,"Shooter","Ubisoft",1.28,1.61,0.15,0.57,3.61
"Battlefield 4","X360",2013,"Shooter","Electronic Arts",2.14,1.08,0.02,0.29,3.53
"FIFA Soccer 11","X360",2010,"Sports","Electronic Arts",0.71,2.4,0.02,0.4,3.53
"Assassin's Creed: Brotherhood","X360",2010,"Action","Ubisoft",2.84,0.39,0.03,0.24,3.5
"Star Wars Battlefront (2015)","XOne",2015,"Shooter","Electronic Arts",1.94,1.22,0.02,0.31,3.49
"Battlefield: Bad Company 2","X360",2010,"Shooter","Electronic Arts",2.09,1.02,0.04,0.32,3.48
"Assassin's Creed: Unity","XOne",2014,"Action","Ubisoft",2.26,0.89,0.0,0.3,3.46
"Far Cry 3","PS3",2012,"Shooter","Ubisoft",0.88,1.75,0.1,0.72,3.45
"Monster Hunter 4","3DS",2013,"Role-Playing","Capcom",0.0,0.0,3.44,0.0,3.44
"Battlefield 4","PS4",2013,"Shooter","Electronic Arts",1.34,1.54,0.17,0.38,3.43
"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.82,1.07,0.06,0.47,3.42
"Metal Gear Solid V: The Phantom Pain","PS4",2015,"Action","Konami Digital Entertainment",1.08,1.35,0.48,0.47,3.38
"Assassin's Creed IV: Black Flag","X360",2013,"Action","Ubisoft",1.9,1.14,0.01,0.29,3.34
"Mario Party 9","Wii",2012,"Misc","Nintendo",1.15,1.17,0.76,0.24,3.32
"Assassin's Creed Syndicate","PS4",2015,"Action","Ubisoft",0.8,1.92,0.06,0.5,3.28
"Destiny","XOne",2014,"Shooter","Activision",2.13,0.92,0.0,0.23,3.28
"Monster Hunter X","3DS",2015,"Action","Capcom",0.25,0.19,2.78,0.04,3.26
"FIFA 16","XOne",2015,"Sports","Electronic Arts",0.88,2.11,0.0,0.23,3.23
"L.A. Noire","PS3",2011,"Adventure","Take-Two Interactive",1.27,1.33,0.12,0.51,3.23
"Madden NFL 16","PS4",2015,"Sports","Electronic Arts",2.33,0.3,0.0,0.59,3.22
"Yokai Watch 2 Ganso/Honke","3DS",2014,"Role-Playing","Nintendo",0.03,0.0,3.18,0.0,3.22
"Dance Central","X360",2010,"Misc","MTV Games",2.15,0.77,0.01,0.26,3.19
"Super Mario Maker","WiiU",2015,"Platform","Nintendo",1.18,0.87,0.93,0.2,3.18
"Fallout: New Vegas","PS3",2010,"Role-Playing","Bethesda Softworks",1.52,1.08,0.1,0.47,3.17
"Resident Evil 6","PS3",2012,"Shooter","Capcom",0.88,0.97,0.88,0.42,3.15
"Halo: The Master Chief Collection","XOne",2014,"Shooter","Microsoft Game Studios",1.89,0.99,0.03,0.24,3.15
"Heavy Rain","PS3",2010,"Adventure","Sony Computer Entertainment",1.29,1.27,0.06,0.5,3.12
"Mass Effect 2","X360",2010,"Role-Playing","Electronic Arts",1.99,0.82,0.03,0.27,3.11
"FIFA 15","X360",2014,"Sports","Electronic Arts",0.78,2.02,0.0,0.3,3.11
"Borderlands 2","X360",2012,"Shooter","Take-Two Interactive",1.89,0.91,0.04,0.24,3.07
"The Legend of Zelda: A Link Between Worlds","3DS",2013,"Action","Nintendo",1.4,0.99,0.46,0.22,3.07
"Mass Effect 3","X360",2012,"Role-Playing","Electronic Arts",1.94,0.86,0.03,0.24,3.07
"Far Cry 3","X360",2012,"Shooter","Ubisoft",1.38,1.35,0.02,0.28,3.04
"Epic Mickey","Wii",2010,"Platform","Disney Interactive Studios",2.06,0.64,0.12,0.22,3.04
"Gears of War: Ultimate Edition","XOne",2015,"Shooter","Microsoft Game Studios",2.38,0.32,0.0,0.31,3.0
"NBA 2K13","X360",2012,"Sports","Take-Two Interactive",2.6,0.21,0.01,0.19,3.0
"Middle-Earth: Shadow of Mordor","PS4",2014,"Action","Warner Bros. Interactive Entertainment",1.01,1.41,0.05,0.53,2.99
"Animal Crossing: Happy Home Designer","3DS",2015,"Simulation","Nintendo",0.47,1.0,1.39,0.12,2.98
"Battlefield: Bad Company 2","PS3",2010,"Shooter","Electronic Arts",1.33,1.12,0.08,0.45,2.97
"The Sims 4","PC",2014,"Simulation","Electronic Arts",0.96,1.72,0.0,0.29,2.97
"Star Wars: The Old Republic","PC",2011,"Role-Playing","Electronic Arts",1.58,1.01,0.0,0.38,2.97
"FIFA 14","PS4",2013,"Sports","Electronic Arts",0.61,1.85,0.11,0.33,2.9
"Titanfall","XOne",2014,"Shooter","Electronic Arts",1.84,0.8,0.04,0.22,2.9
"Need for Speed: Most Wanted","PS3",2012,"Racing","Electronic Arts",0.71,1.51,0.06,0.61,2.89
"Zumba Fitness 2","Wii",2011,"Sports","Majesco Entertainment",1.54,1.07,0.0,0.28,2.88
"Call of Duty: Ghosts","XOne",2013,"Shooter","Activision",1.87,0.77,0.0,0.22,2.86
"Madden NFL 13","X360",2012,"Sports","Electronic Arts",2.53,0.16,0.0,0.17,2.86
"Mortal Kombat","PS3",2011,"Fighting","Warner Bros. Interactive Entertainment",1.98,0.55,0.0,0.32,2.85
"Skylanders: Spyro's Adventure","Wii",2011,"Action","Activision",1.4,1.14,0.0,0.31,2.85
"FIFA 16","PS3",2015,"Sports","Electronic Arts",0.4,1.98,0.05,0.42,2.85
"Assassin's Creed: Brotherhood","PS3",2010,"Action","Ubisoft",1.87,0.57,0.11,0.3,2.84
"Medal of Honor","PS3",2010,"Shooter","Electronic Arts",1.28,1.05,0.07,0.43,2.83
"Need for Speed: Hot Pursuit","PS3",2010,"Racing","Electronic Arts",1.05,1.25,0.03,0.48,2.81
"Killzone 3","PS3",2011,"Shooter","Sony Computer Entertainment",1.45,0.88,0.09,0.38,2.79
"Battlefield 3","PC",2011,"Shooter","Electronic Arts",0.89,1.43,0.0,0.48,2.79
"Monster Hunter Tri","3DS",2011,"Role-Playing","Nintendo",0.46,0.29,1.96,0.07,2.79
"inFAMOUS: Second Son","PS4",2014,"Action","Sony Computer Entertainment",1.27,0.97,0.07,0.47,2.78
"Saints Row: The Third","X360",2011,"Action","THQ",1.25,1.15,0.07,0.3,2.77
"Assassin's Creed IV: Black Flag","PS4",2013,"Action","Ubisoft",1.07,1.31,0.06,0.31,2.74
"L.A. Noire","X360",2011,"Adventure","Take-Two Interactive",1.52,0.94,0.02,0.24,2.72
"Mortal Kombat X","PS4",2015,"Fighting","Warner Bros. Interactive Entertainment",1.47,0.76,0.0,0.47,2.7
"Madden NFL 12","X360",2011,"Sports","Electronic Arts",2.42,0.11,0.0,0.16,2.69
"Madden NFL 11","X360",2010,"Sports","Electronic Arts",2.38,0.12,0.0,0.18,2.69
"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2010,"Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69
"Skate 3","X360",2010,"Sports","Electronic Arts",1.46,0.98,0.0,0.24,2.68
"Yokai Watch 2 Shinuchi","3DS",2014,"Role-Playing","Level 5",0.0,0.0,2.68,0.0,2.68
"Final Fantasy XIII-2","PS3",2011,"Role-Playing","Square Enix",0.78,0.75,0.89,0.26,2.68
"Skylanders Giants","Wii",2012,"Action","Activision",1.56,0.88,0.0,0.22,2.65
"Medal of Honor","X360",2010,"Shooter","Electronic Arts",1.55,0.81,0.04,0.21,2.62
"NBA 2K12","X360",2011,"Sports","Take-Two Interactive",2.31,0.14,0.01,0.16,2.62
"Super Mario All-Stars: Limited Edition","Wii",2010,"Platform","Nintendo",1.02,0.52,0.92,0.14,2.6
"Killzone: Shadow Fall","PS4",2013,"Shooter","Sony Computer Entertainment",0.89,1.33,0.07,0.28,2.58
"Art Academy","DS",2010,"Misc","Nintendo",0.28,1.68,0.33,0.28,2.57
"Madden NFL 13","PS3",2012,"Sports","Electronic Arts",2.11,0.23,0.0,0.22,2.56
"Tomb Raider (2013)","PS3",2013,"Action","Square Enix",0.6,1.31,0.08,0.52,2.51
"Saints Row: The Third","PS3",2011,"Action","THQ",0.86,1.06,0.18,0.39,2.49
"LEGO Harry Potter: Years 1-4","Wii",2010,"Action","Warner Bros. Interactive Entertainment",1.29,0.97,0.0,0.23,2.49
"NBA 2K13","PS3",2012,"Sports","Take-Two Interactive",1.72,0.44,0.05,0.27,2.48
"NBA 2K14","X360",2013,"Sports","Take-Two Interactive",2.1,0.2,0.0,0.17,2.47
"uDraw Studio","Wii",2010,"Misc","THQ",1.67,0.58,0.0,0.2,2.46
"Halo: Combat Evolved Anniversary","X360",2011,"Shooter","Microsoft Game Studios",1.44,0.73,0.04,0.22,2.44
"pro evolution soccer 2011","PS3",2010,"Sports","Konami Digital Entertainment",0.29,1.18,0.54,0.41,2.42
"Minecraft","XOne",2014,"Misc","Microsoft Game Studios",1.43,0.76,0.0,0.22,2.41
"Madden NFL 16","XOne",2015,"Sports","Electronic Arts",2.07,0.08,0.0,0.26,2.4
"Need for Speed (2015)","PS4",2015,"Racing","Electronic Arts",0.49,1.49,0.05,0.36,2.39
"Zumba Fitness","X360",2010,"Sports","505 Games",1.74,0.48,0.0,0.18,2.39
"Batman: Arkham Origins","PS3",2013,"Action","Warner Bros. Interactive Entertainment",1.07,0.87,0.04,0.4,2.39
"Dead Island","X360",2011,"Action","Deep Silver",1.48,0.71,0.0,0.2,2.39
"Kinect: Disneyland Adventures","X360",2011,"Misc","Microsoft Game Studios",1.73,0.46,0.02,0.18,2.38
"Bloodborne","PS4",2015,"Action","Sony Computer Entertainment",1.0,0.76,0.26,0.36,2.38
"NBA 2K15","PS4",2014,"Sports","Take-Two Interactive",1.46,0.54,0.01,0.37,2.38
"Madden NFL 11","PS3",2010,"Sports","Electronic Arts",2.04,0.15,0.0,0.19,2.38
"Kinect Sports: Season Two","X360",2011,"Sports","Microsoft Game Studios",1.38,0.74,0.02,0.22,2.36
"LEGO Harry Potter: Years 1-4","DS",2010,"Action","Warner Bros. Interactive Entertainment",1.07,1.05,0.0,0.23,2.35
"Skylanders SWAP Force","Wii",2013,"Platform","Activision",1.32,0.83,0.0,0.2,2.34
"The Sims 3","X360",2010,"Simulation","Electronic Arts",1.27,0.86,0.0,0.2,2.33
"The Legend of Zelda: Majora's Mask 3D","3DS",2015,"Action","Nintendo",1.14,0.54,0.47,0.17,2.32
"NBA 2K16","XOne",2015,"Sports","Take-Two Interactive",1.93,0.14,0.0,0.24,2.32
"Just Dance Kids","Wii",2010,"Misc","Ubisoft",1.57,0.56,0.0,0.19,2.32
"LEGO Marvel Super Heroes","X360",2013,"Action","Warner Bros. Interactive Entertainment",1.24,0.85,0.0,0.21,2.3
"Guild Wars 2","PC",2012,"Action","NCSoft",0.95,1.06,0.0,0.29,2.3
"Dead Island","PS3",2011,"Action","Deep Silver",1.08,0.75,0.15,0.31,2.29
"God of War: Ascension","PS3",2013,"Action","Sony Computer Entertainment",1.23,0.68,0.04,0.34,2.29
"Just Dance 2015","Wii",2014,"Misc","Ubisoft",1.11,0.98,0.0,0.2,2.28
"Yokai Watch Busters","3DS",2015,"Action","Level 5",0.0,0.0,2.28,0.0,2.28
"Borderlands 2","PS3",2012,"Shooter","Take-Two Interactive",1.05,0.77,0.1,0.36,2.28
"Paper Mario: Sticker Star","3DS",2012,"Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27
"Minecraft","PSV",2014,"Misc","Sony Computer Entertainment Europe",0.28,0.79,0.87,0.32,2.25
"Madden NFL 12","PS3",2011,"Sports","Electronic Arts",1.93,0.15,0.0,0.17,2.25
"New Super Luigi U","WiiU",2013,"Platform","Nintendo",1.27,0.62,0.18,0.16,2.22
"Need for Speed: Hot Pursuit","X360",2010,"Racing","Electronic Arts",1.03,0.98,0.0,0.21,2.22
"BioShock 2","X360",2010,"Shooter","Take-Two Interactive",1.45,0.55,0.02,0.19,2.21
"Assassin's Creed IV: Black Flag","XOne",2013,"Action","Ubisoft",1.47,0.55,0.0,0.19,2.21
"Pro Evolution Soccer 2012","PS3",2011,"Action","Konami Digital Entertainment",0.34,0.97,0.55,0.33,2.19
"Hitman: Absolution","PS3",2012,"Action","Square Enix",0.59,1.07,0.07,0.45,2.19
"Forza Motorsport 5","XOne",2013,"Racing","Microsoft Game Studios",1.21,0.78,0.01,0.17,2.18
"Madden NFL 25","X360",2013,"Sports","Electronic Arts",1.97,0.07,0.0,0.13,2.18
"Final Fantasy XIII","X360",2010,"Role-Playing","Square Enix",1.27,0.68,0.01,0.2,2.17
"Tom Clancy's Rainbow Six: Siege","PS4",2015,"Shooter","Ubisoft",0.54,1.16,0.13,0.32,2.15
"FIFA 15","XOne",2014,"Sports","Electronic Arts",0.6,1.41,0.0,0.14,2.15
"Far Cry: Primal","PS4",2016,"Action","Ubisoft",0.59,1.16,0.06,0.33,2.13
"Toy Story 3: The Video Game","DS",2010,"Action","Disney Interactive Studios",0.93,0.97,0.02,0.21,2.12
"Kirby's Epic Yarn","Wii",2010,"Platform","Nintendo",1.47,0.09,0.45,0.11,2.12
"NBA 2K12","PS3",2011,"Sports","Take-Two Interactive",1.61,0.27,0.05,0.18,2.11
"Mario Sports Mix","Wii",2010,"Sports","Nintendo",0.9,0.45,0.63,0.13,2.11
"Mortal Kombat","X360",2011,"Fighting","Warner Bros. Interactive Entertainment",1.63,0.33,0.0,0.15,2.11
"Portal 2","X360",2011,"Shooter","Valve Software",1.41,0.51,0.01,0.17,2.1
"NBA 2K11","X360",2010,"Action","Take-Two Interactive",1.84,0.12,0.01,0.13,2.09
"Battlefield: Hardline","PS4",2015,"Shooter","Electronic Arts",0.7,0.93,0.14,0.32,2.09
"Metal Gear Solid: Peace Walker","PSP",2010,"Action","Konami Digital Entertainment",0.46,0.42,0.96,0.25,2.09
"World of Warcraft: Cataclysm","PC",2010,"Role-Playing","Activision",1.77,0.32,0.0,0.0,2.08
"Ghostbusters: The Video Game (DS Version)","PS3",2010,"Action","Take-Two Interactive",0.59,0.99,0.13,0.36,2.08
"Skate 3","PS3",2010,"Sports","Electronic Arts",0.79,0.94,0.0,0.35,2.08
"Kingdom Hearts: Birth by Sleep","PSP",2010,"Role-Playing","Square Enix",0.63,0.42,0.75,0.26,2.07
"Dark Souls","PS3",2011,"Role-Playing","Namco Bandai Games",0.75,0.54,0.54,0.23,2.07
"The Sims 3","PS3",2010,"Simulation","Electronic Arts",0.73,0.97,0.02,0.34,2.06
"Tom Clancy's Splinter Cell: Conviction","X360",2010,"Action","Ubisoft",1.2,0.63,0.04,0.19,2.06
"Mario & Luigi: Dream Team","3DS",2013,"Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06
"NBA 2K14","PS3",2013,"Sports","Take-Two Interactive",1.43,0.33,0.04,0.25,2.05
"Diablo III","PS3",2013,"Role-Playing","Activision",0.71,0.83,0.15,0.35,2.05
"Dance Central 2","X360",2011,"Misc","Microsoft Game Studios",1.45,0.42,0.01,0.16,2.04
"Need for Speed: The Run","PS3",2011,"Action","Electronic Arts",0.58,1.06,0.03,0.37,2.04
"Madden NFL 15","PS4",2014,"Sports","Electronic Arts",1.53,0.25,0.0,0.25,2.03
"Just Dance 3","X360",2011,"Misc","Ubisoft",1.47,0.4,0.0,0.16,2.03
"Madden NFL 15","X360",2014,"Sports","Electronic Arts",1.76,0.09,0.0,0.17,2.02
"Forza Horizon","X360",2012,"Racing","Microsoft Game Studios",0.82,0.98,0.04,0.18,2.02
"Tom Clancy's The Division","XOne",2016,"Shooter","Ubisoft",1.2,0.62,0.0,0.18,2.01
"LEGO Marvel Super Heroes","PS3",2013,"Action","Warner Bros. Interactive Entertainment",0.77,0.85,0.01,0.37,2.0
"Fire Emblem: Awakening","3DS",2012,"Role-Playing","Nintendo",0.89,0.45,0.53,0.13,2.0
"DriveClub","PS4",2014,"Racing","Sony Computer Entertainment",0.35,1.31,0.02,0.33,2.0
"Battlefield 4","XOne",2013,"Shooter","Electronic Arts",1.25,0.58,0.0,0.16,1.98
"Resident Evil 6","X360",2012,"Shooter","Capcom",1.11,0.63,0.07,0.16,1.98
"Dragon Age: Inquisition","PS4",2014,"Role-Playing","Electronic Arts",0.72,0.86,0.08,0.32,1.97
